titill,listamaður,opnun,lokun,staðsetning
"Dansað á línu","Testa Gervidóttir","2. september 2025","12. janúar 2026","Salur 1"
"Rýmið sem tími","Gervimaður Prufuson","5. september 2025","15. mars 2026","Salur 2"
"öðruvísi","Plat Persóna","10. september 2025","5. febrúar 2026","Skáli"
"Flæði einskis","Ekkert Ekkertson","12. september 2025","30. júní 2026","Salur 1"
"Ímyndaðu þér","Foolína Bardóttir","15. september 2025","20. apríl 2026","Salur 3"
"Síðasti vefurinn","Vefmundur Prufuson","3. október 2025","10. janúar 2027","Salur 3"
"Tölvulist","Lorem Ipsumson","18. september 2025","1. október 2026","Salur 4"
"abc","Prufandi Einstaklingur","21. september 2025","18. ágúst 2026","Skáli"
"handan alls","Rosalegur Gervimaður Prufuson","25. september 2025","12. nóvember 2026","Salur 2"
"Hljóðmyndir","Prufmundur Gervison","1. október 2025","20. maí 2026","Salur 1"
"Brenglun","Gervey Tests","5. október 2025","5. desember 2026","Skáli"
"Snert af engu","Prófari Prófar","8. október 2025","15. mars 2027","Salur 2"
"Víðerni í spegli","Engin Nafnsdóttir","12. október 2025","20. júlí 2026","Salur 4"
"Fölsk birta","Arnór Daníelsson","18. október 2025","28. febrúar 2026","Salur 1"
"forritaður flótti","Testrún Foodóttir","22. október 2025","30. apríl 2026","Salur 2"
"Rótleysi","Gervimaður Ipsum","1. nóvember 2025","1. janúar 2027","Skáli"
"Brot úr mynstri","Testurður Vefson","5. nóvember 2025","15. júní 2026","Salur 3"
"Frostmál","Engin","10. nóvember 2025","25. september 2026","Salur 4"
"nafnlaust","Platgeir Platsson","15. nóvember 2025","30. mars 2027","Salur 1"
"Fjarvera","Lorema Gervey","20. nóvember 2025","15. nóvember 2026","Salur 2"
